,0
bitrate.csv,0
lol_1920x1080_25_1M.264,1351.16
lol_1920x1080_25_2M.264,2168.66
lol_1920x1080_25_3M.264,3012.28
lol_1920x1080_25_4M.264,3988.38
lol_1920x1080_25_5M.264,5038.41
