PSNR_YYUV,SSIM (precise)_YYUV
lol_1920x1080_25.yuv,lol_1920x1080_25.yuv
v205_avc_cuton_0B/lol_1920x1080_25_5M.264,v205_avc_cuton_0B/lol_1920x1080_25_5M.264
AVG: 43.17284,AVG: 0.98713
40.48365,0.98503
38.59815,0.97592
38.35475,0.97437
38.29278,0.97432
38.26038,0.97380
38.34113,0.97421
38.63685,0.97538
38.65683,0.97489
38.52660,0.97410
38.93098,0.97589
39.69279,0.97900
40.35263,0.98064
40.53288,0.98146
40.60531,0.98202
40.89648,0.98225
41.04964,0.98310
41.12275,0.98327
41.93674,0.98918
41.58879,0.98696
42.36774,0.98824
42.33337,0.98758
42.59030,0.98900
42.42035,0.98792
42.63411,0.98774
42.88696,0.98929
42.91733,0.98944
43.65576,0.98910
43.74728,0.98917
43.85542,0.98980
43.83108,0.98952
43.76878,0.98932
44.00227,0.98937
44.02306,0.98941
44.05503,0.98934
44.01117,0.98917
44.03874,0.98914
44.04701,0.98922
44.06033,0.98902
44.03062,0.98895
44.41149,0.98928
44.45814,0.98947
44.45566,0.98922
44.42809,0.98917
44.46828,0.98918
44.47479,0.98939
44.42371,0.98909
44.35970,0.98872
44.36094,0.98873
44.70065,0.98937
44.71290,0.98930
50.77608,0.99528
49.39056,0.99439
49.59337,0.99447
49.22131,0.99420
48.87265,0.99385
48.75513,0.99368
48.62381,0.99353
48.48549,0.99348
48.19836,0.99321
48.12946,0.99312
48.03072,0.99297
48.02524,0.99302
47.84980,0.99276
47.77856,0.99269
47.74409,0.99263
47.79436,0.99264
47.65582,0.99243
47.65491,0.99243
47.43063,0.99224
47.37079,0.99214
47.49493,0.99228
47.24522,0.99202
47.17024,0.99191
47.17301,0.99183
47.21154,0.99171
46.83920,0.99091
46.68106,0.99038
46.59035,0.99022
46.60898,0.99025
46.61051,0.99026
46.61034,0.99026
45.59875,0.98889
45.63059,0.98893
45.39783,0.98839
44.99940,0.98769
45.02725,0.98786
44.74221,0.98707
44.78558,0.98739
44.85417,0.98767
44.61151,0.98680
44.67973,0.98705
44.74493,0.98753
44.63695,0.98714
44.55514,0.98709
44.54311,0.98685
44.59635,0.98727
44.47610,0.98681
44.53016,0.98697
44.51163,0.98695
44.37019,0.98674
47.45880,0.99196
45.42913,0.98909
44.70819,0.98748
44.54681,0.98704
44.44943,0.98682
45.99691,0.99231
45.36575,0.99039
45.43321,0.99076
45.17301,0.98972
45.11090,0.98973
44.86810,0.98878
44.93855,0.98927
44.93067,0.98894
44.75692,0.98870
44.90150,0.98913
44.91872,0.98916
44.84425,0.98889
44.92767,0.98918
44.92991,0.98907
44.81976,0.98880
44.86650,0.98898
44.80265,0.98865
44.93679,0.98910
44.88908,0.98928
44.71505,0.98887
44.77630,0.98894
44.91056,0.98913
45.52465,0.99168
45.21335,0.99083
44.96691,0.98988
45.02956,0.99005
44.88200,0.98964
44.87377,0.98973
45.00867,0.98993
44.80299,0.98954
44.81197,0.98950
44.92493,0.98978
44.77825,0.98910
44.88619,0.98936
44.81316,0.98909
44.98879,0.98940
44.48645,0.98819
43.90990,0.98780
43.17825,0.98615
43.04758,0.98589
43.00335,0.98547
43.59715,0.98761
43.05757,0.98590
43.23562,0.98663
42.95663,0.98564
44.45823,0.98954
43.07843,0.98666
42.97275,0.98630
42.41395,0.98421
42.30904,0.98453
42.01577,0.98350
42.04910,0.98354
41.84959,0.98224
41.67172,0.98230
41.32407,0.98077
41.41577,0.98129
41.19350,0.98023
41.06070,0.98028
40.98548,0.98029
40.89220,0.97966
41.01002,0.98325
38.37448,0.97419
38.51553,0.97453
38.42300,0.97337
39.17516,0.98255
38.89199,0.97938
39.16074,0.98232
38.87250,0.97943
38.69316,0.97809
38.79285,0.97875
38.67504,0.97774
38.59227,0.97716
38.66003,0.97761
38.68639,0.97834
38.83817,0.97826
38.90224,0.97842
39.35303,0.97976
39.35831,0.97968
39.46651,0.97974
39.45071,0.97964
40.18701,0.98163
40.24580,0.98181
40.25989,0.98184
40.26205,0.98185
40.29178,0.98174
40.30972,0.98179
40.33826,0.98184
40.60925,0.98227
41.68672,0.98482
41.67715,0.98465
41.87214,0.98497
43.08113,0.98721
43.15848,0.98751
43.36946,0.98773
43.77644,0.98816
49.94842,0.99472
48.58789,0.99386
48.26981,0.99352
48.37322,0.99308
47.95515,0.99230
47.85191,0.99228
47.68446,0.99166
47.51472,0.99125
47.33490,0.99113
47.10978,0.99057
46.53519,0.98969
46.51834,0.98973
46.37865,0.98938
46.20304,0.98881
46.19519,0.98895
46.14984,0.98898
46.20158,0.98884
46.04546,0.98873
46.01280,0.98869
45.90521,0.98840
45.92837,0.98835
45.64135,0.98742
45.56710,0.98729
45.72425,0.98795
45.66219,0.98764
45.72252,0.98793
45.71789,0.98797
45.72781,0.98801
45.66018,0.98788
45.64764,0.98785
45.59431,0.98779
45.58067,0.98777
45.54776,0.98776
45.49992,0.98765
45.43212,0.98749
45.43451,0.98747
45.39955,0.98753
45.43127,0.98761
45.48378,0.98806
45.18942,0.98708
45.25784,0.98724
45.07740,0.98688
45.17647,0.98713
45.00765,0.98672
45.01370,0.98650
44.95582,0.98659
45.20061,0.98721
45.02077,0.98680
45.17937,0.98724
45.05943,0.98709
48.62300,0.99495
48.62547,0.99495
48.62547,0.99495
44.81355,0.98937
44.89002,0.98945
