,0
BasketballDrive_1920x1080_50_1M.264,1013.04
BasketballDrive_1920x1080_50_2M.264,1979.83
BasketballDrive_1920x1080_50_3M.264,2976.83
BasketballDrive_1920x1080_50_4M.264,3973.43
BasketballDrive_1920x1080_50_5M.264,4976.59
bitrate.csv,0
