,0
bitrate.csv,0.313043
Cactus_1920x1080_50_1M.264,1563.2
Cactus_1920x1080_50_2M.264,2439.15
Cactus_1920x1080_50_3M.264,3167.02
Cactus_1920x1080_50_4M.264,4022.13
Cactus_1920x1080_50_5M.264,5214.69
