PSNR_YYUV,SSIM (precise)_YYUV
concert_1920x1080_30.yuv,concert_1920x1080_30.yuv
v205_avc_cuton_0B/concert_1920x1080_30_1M.264,v205_avc_cuton_0B/concert_1920x1080_30_1M.264
AVG: 31.87875,AVG: 0.92033
36.75289,0.95789
35.11107,0.94845
34.04249,0.94017
34.14735,0.94049
34.23493,0.94138
34.10120,0.94138
33.37148,0.93633
33.12811,0.93287
33.21925,0.93255
33.57925,0.93601
33.75495,0.93722
34.16073,0.93998
33.59676,0.93674
32.87236,0.93095
33.48812,0.93362
33.03502,0.92931
33.03802,0.92936
31.74723,0.91958
31.58799,0.91631
31.17004,0.91260
30.90361,0.90809
31.29452,0.91001
31.40576,0.91039
30.85410,0.90308
31.03184,0.90560
31.27525,0.90554
31.71116,0.90962
32.28349,0.91550
32.43552,0.91649
32.01114,0.91056
32.31466,0.91661
32.81173,0.92015
32.56432,0.91943
33.05540,0.92116
33.26099,0.92286
33.35764,0.92324
34.49595,0.94868
34.20787,0.94708
34.59350,0.95012
34.32631,0.94877
34.29411,0.94864
33.01517,0.93959
33.30582,0.94166
33.52390,0.94232
32.62052,0.93715
32.53881,0.93546
32.65322,0.93663
32.59924,0.93565
32.83558,0.93666
31.38655,0.92858
29.72174,0.91232
29.73046,0.91184
30.07948,0.91529
30.30759,0.91629
31.26968,0.92464
31.89539,0.92691
32.62976,0.93361
32.96228,0.93494
32.96374,0.93496
32.41144,0.92929
36.55040,0.95820
32.74007,0.93722
32.51490,0.93300
32.85834,0.93559
33.12655,0.93817
33.77705,0.94192
34.27930,0.94514
34.57507,0.94639
33.21101,0.93937
33.13941,0.93985
33.15986,0.94008
32.22901,0.93371
31.42809,0.92647
30.99134,0.92169
31.27276,0.92357
31.82196,0.92795
32.25921,0.93173
32.66665,0.93338
32.56279,0.93402
32.85350,0.93508
33.35533,0.93911
33.81572,0.94200
33.83338,0.94239
32.99666,0.93727
33.46077,0.94171
33.79434,0.94308
32.53938,0.93474
32.83866,0.93565
33.07230,0.93800
33.82555,0.94340
34.30125,0.94692
32.53947,0.93444
32.98241,0.93853
32.34294,0.93379
32.64091,0.93669
33.35790,0.94184
33.83741,0.94612
32.08680,0.93481
32.46522,0.93755
31.81902,0.93273
32.23233,0.93663
32.79916,0.93947
34.59699,0.95743
34.05112,0.95309
33.16059,0.94795
31.97600,0.94025
32.63957,0.94541
33.20186,0.94787
32.22579,0.94127
32.60551,0.94405
33.03907,0.94674
33.76202,0.95092
33.87032,0.95225
32.26020,0.94125
32.84840,0.94501
33.57113,0.95087
32.32293,0.94351
