,0
bitrate.csv,0.124031
concert_1920x1080_30_1M.264,1333
concert_1920x1080_30_2M.264,2075.97
concert_1920x1080_30_3M.264,3068.1
concert_1920x1080_30_4M.264,4121.48
concert_1920x1080_30_5M.264,5181.78
