,0
bitrate.csv,0.314625
Cactus_1920x1080_50_1M.264,1143.38
Cactus_1920x1080_50_2M.264,2075.55
Cactus_1920x1080_50_3M.264,2942.03
Cactus_1920x1080_50_4M.264,3921.73
Cactus_1920x1080_50_5M.264,4946.74
