PSNR_YYUV,SSIM (precise)_YYUV
Cactus_1920x1080_50.yuv,Cactus_1920x1080_50.yuv
v205_avc_cutoff_3B/Cactus_1920x1080_50_3M.264,v205_avc_cutoff_3B/Cactus_1920x1080_50_3M.264
AVG: 33.27922,AVG: 0.88816
31.71211,0.84481
31.03437,0.84811
30.59085,0.83440
30.68173,0.84509
30.79720,0.83688
30.35263,0.83560
29.96634,0.82176
30.04020,0.83018
30.21702,0.82570
30.39870,0.83282
30.18088,0.82265
30.25379,0.83059
30.09626,0.82208
30.86902,0.84038
30.74433,0.83356
31.05045,0.84629
31.02002,0.84117
31.47158,0.85320
31.28229,0.84499
31.52925,0.85526
31.58616,0.85143
31.95122,0.86307
31.72109,0.85437
32.04805,0.86676
32.04704,0.86122
32.19867,0.86906
31.94751,0.85944
32.28253,0.87126
32.24368,0.86535
32.46400,0.87459
32.09489,0.86369
32.33232,0.87375
32.27621,0.86768
32.63141,0.87794
32.40748,0.86928
32.80664,0.88108
32.88138,0.87660
33.01949,0.88371
32.66942,0.87239
33.06348,0.88467
33.13916,0.87968
33.17153,0.88496
32.76674,0.87300
33.09591,0.88321
33.13767,0.87891
33.20709,0.88475
32.87963,0.87460
33.15791,0.88423
33.20314,0.87960
33.19350,0.88355
32.86017,0.87350
33.15101,0.88233
33.14500,0.87717
33.19522,0.88190
32.86510,0.87228
33.11784,0.88235
33.17104,0.87897
33.24125,0.88427
32.89480,0.87506
33.19119,0.88510
33.24453,0.88196
33.25477,0.88648
32.94079,0.87646
33.24966,0.88625
33.23846,0.88133
33.29657,0.88562
32.89581,0.87446
33.15821,0.88388
33.21123,0.88014
33.16602,0.88374
32.82263,0.87375
33.10547,0.88356
33.17588,0.87966
33.11654,0.88311
32.74809,0.87252
33.04163,0.88281
33.15413,0.87903
33.14227,0.88361
32.72414,0.87245
33.08655,0.88448
33.12919,0.87982
33.10461,0.88428
32.68701,0.87307
33.14814,0.88558
33.07530,0.87918
33.13027,0.88515
32.66226,0.87301
33.00687,0.88405
33.00697,0.87909
33.25541,0.88737
32.82061,0.87638
33.17576,0.88705
33.08703,0.88031
33.30230,0.88828
32.92989,0.87751
33.34963,0.88928
33.39348,0.88504
34.89698,0.91574
34.60723,0.90800
35.67813,0.92690
36.79045,0.93300
35.74738,0.92836
34.92215,0.91401
35.18242,0.92103
35.05560,0.91500
34.92461,0.91708
34.42025,0.90606
34.87125,0.91583
34.87948,0.91117
34.82981,0.91529
34.25423,0.90446
34.72885,0.91510
34.70984,0.90999
34.69557,0.91360
34.20788,0.90233
34.61058,0.91140
34.59242,0.90607
34.58476,0.91026
34.12207,0.89974
34.53050,0.90991
34.55085,0.90450
34.52719,0.90804
33.96815,0.89689
34.50879,0.90853
34.53754,0.90374
34.44167,0.90800
33.98856,0.89824
34.46395,0.90925
34.60438,0.90576
34.26772,0.90694
33.76809,0.89586
34.21044,0.90634
34.32811,0.90245
34.06285,0.90531
33.51577,0.89297
33.91983,0.90436
33.90627,0.89813
33.77052,0.90205
33.32812,0.89126
33.73825,0.90196
33.65168,0.89497
33.49246,0.89811
33.10952,0.88748
33.51471,0.89826
33.60212,0.89345
33.72280,0.89972
33.18975,0.88753
33.65899,0.89942
33.75901,0.89444
33.81651,0.90039
33.35418,0.88843
33.74868,0.89939
33.85001,0.89423
33.82424,0.89905
33.37987,0.88745
33.78488,0.89773
33.84356,0.89280
33.76796,0.89661
33.35255,0.88579
33.77240,0.89630
33.81412,0.89054
33.80043,0.89466
33.40136,0.88349
33.73656,0.89358
33.81956,0.88917
33.73953,0.89353
33.29774,0.88366
33.74194,0.89505
33.84794,0.89135
33.79356,0.89607
33.38902,0.88644
33.82428,0.89876
33.92437,0.89448
33.89157,0.89829
33.44466,0.88820
33.83541,0.89735
33.87230,0.89233
33.81014,0.89643
33.36802,0.88608
33.73071,0.89640
33.81251,0.89180
33.74119,0.89574
33.41090,0.88683
33.73898,0.89710
33.79528,0.89245
33.67479,0.89579
33.32189,0.88626
33.66362,0.89642
33.74347,0.89216
33.68145,0.89694
33.25285,0.88585
33.67677,0.89784
33.72160,0.89245
33.61893,0.89668
33.19057,0.88620
33.62334,0.89764
33.54408,0.89118
34.50338,0.91170
34.39029,0.90609
35.54224,0.92504
36.27402,0.92554
35.34703,0.92277
34.44819,0.90734
34.68354,0.91419
34.65836,0.90769
34.48430,0.91076
34.02322,0.89913
34.35843,0.90854
34.40680,0.90307
34.25123,0.90691
33.82608,0.89700
34.18430,0.90625
34.22632,0.90064
34.07608,0.90401
33.69158,0.89501
34.06718,0.90468
34.17209,0.89999
34.16485,0.90442
33.76318,0.89488
34.16009,0.90506
34.20871,0.90094
34.16026,0.90519
33.73455,0.89521
34.10890,0.90563
34.08990,0.89956
34.08287,0.90302
33.69469,0.89298
34.04549,0.90287
34.07430,0.89734
34.06833,0.90120
33.63496,0.89067
34.03655,0.90092
34.11434,0.89569
34.11271,0.90128
33.72969,0.89211
34.11697,0.90240
34.14313,0.89755
34.08486,0.90186
33.67954,0.89197
34.01681,0.90177
34.06395,0.89685
34.03860,0.90142
33.63366,0.89181
34.00613,0.90238
34.09394,0.89781
34.03622,0.90267
33.65395,0.89383
34.01845,0.90365
34.07907,0.90074
33.74308,0.89993
32.16648,0.83592
32.91600,0.85918
32.89542,0.85895
