,0
bitrate.csv,0.122171
concert_1920x1080_30_1M.264,1034.13
concert_1920x1080_30_2M.264,2023.06
concert_1920x1080_30_3M.264,3101.47
concert_1920x1080_30_4M.264,4070.12
concert_1920x1080_30_5M.264,5209.25
