,0
bitrate.csv,0.138039
lol_1920x1080_25_1M.264,963.26
lol_1920x1080_25_2M.264,1896.78
lol_1920x1080_25_3M.264,3010.23
lol_1920x1080_25_4M.264,3956.86
lol_1920x1080_25_5M.264,4730.85
