,0
bitrate.csv,0.138824
lol_1920x1080_25_1M.264,1072.99
lol_1920x1080_25_2M.264,1969.57
lol_1920x1080_25_3M.264,3044.68
lol_1920x1080_25_4M.264,3956.86
lol_1920x1080_25_5M.264,4730.85
