PSNR_YYUV,SSIM (precise)_YYUV
Cactus_1920x1080_50.yuv,Cactus_1920x1080_50.yuv
v205_avc_cuton_3B/Cactus_1920x1080_50_4M.264,v205_avc_cuton_3B/Cactus_1920x1080_50_4M.264
AVG: 34.47281,AVG: 0.90632
32.75798,0.86500
32.12906,0.86940
31.62853,0.85577
31.73807,0.86618
31.81265,0.85802
31.55432,0.85881
31.11054,0.84482
31.19483,0.85317
31.20415,0.84708
31.57772,0.85607
31.36414,0.84646
31.52075,0.85520
31.32333,0.84676
32.13102,0.86473
31.98988,0.85844
32.39853,0.87182
32.43287,0.86810
32.83339,0.87878
32.56117,0.86967
32.78795,0.87896
32.65492,0.87254
33.24517,0.88683
32.97846,0.87851
33.41471,0.89153
33.48793,0.88708
33.63791,0.89421
33.30459,0.88434
33.62900,0.89497
33.49766,0.88808
33.93387,0.89926
33.54380,0.88954
33.92981,0.90029
33.81267,0.89391
34.20391,0.90354
33.92503,0.89498
34.39963,0.90633
34.39174,0.90115
34.55539,0.90786
34.15424,0.89699
34.60864,0.90847
34.62126,0.90329
34.67394,0.90869
34.26544,0.89796
34.65351,0.90790
34.61514,0.90289
34.77625,0.90928
34.37431,0.89927
34.72468,0.90888
34.69057,0.90356
34.75976,0.90826
34.34333,0.89848
34.70237,0.90736
34.62598,0.90177
34.74697,0.90690
34.31900,0.89747
34.68496,0.90727
34.65781,0.90316
34.76220,0.90835
34.38535,0.89960
34.76384,0.90929
34.74321,0.90554
34.80416,0.91023
34.39513,0.90041
34.79199,0.91013
34.72543,0.90506
34.80612,0.90959
34.37459,0.89961
34.72003,0.90892
34.71822,0.90466
34.71796,0.90883
34.33104,0.89933
34.67966,0.90882
34.67566,0.90399
34.69806,0.90833
34.24993,0.89826
34.63137,0.90856
34.65955,0.90387
34.68318,0.90867
34.22831,0.89859
34.66441,0.90980
34.63475,0.90465
34.68373,0.90958
34.17791,0.89877
34.71302,0.91057
34.58640,0.90415
34.69006,0.91035
34.15915,0.89922
34.57556,0.90952
34.51945,0.90426
34.72422,0.91126
34.20012,0.90061
34.65686,0.91132
34.61500,0.90541
34.70038,0.91116
34.20532,0.89961
34.68658,0.91069
34.65714,0.90578
36.07643,0.93114
35.73744,0.92356
36.95656,0.94105
38.47779,0.94879
37.02600,0.94241
36.02038,0.92829
36.31831,0.93475
36.16744,0.92916
36.06905,0.93134
35.46564,0.92062
35.96182,0.92974
35.94324,0.92500
35.93761,0.92926
35.30475,0.91877
35.79060,0.92837
35.75671,0.92364
35.76354,0.92707
35.19588,0.91639
35.71364,0.92561
35.63082,0.92040
35.53415,0.92370
34.97521,0.91313
35.48470,0.92344
35.59031,0.91893
35.40730,0.92095
34.75367,0.90936
35.31573,0.92028
35.25068,0.91465
35.29380,0.91974
34.79084,0.91028
35.25619,0.92033
35.26579,0.91558
35.24995,0.91947
34.71805,0.90933
35.20281,0.91939
35.16798,0.91438
35.00105,0.91833
34.53032,0.90776
35.06287,0.91991
35.14717,0.91499
34.93329,0.91828
34.37646,0.90667
34.78287,0.91675
34.69898,0.91008
34.60825,0.91394
34.10685,0.90306
34.55203,0.91342
34.64803,0.90889
34.79456,0.91523
34.26207,0.90373
34.73341,0.91464
34.80582,0.90941
34.86713,0.91524
34.37537,0.90353
34.80851,0.91407
34.89944,0.90903
34.88985,0.91380
34.35836,0.90234
34.84067,0.91271
34.89523,0.90800
34.79580,0.91152
34.33649,0.90105
34.84000,0.91145
34.85865,0.90605
34.85033,0.91019
34.38856,0.89935
34.77604,0.90910
34.82538,0.90482
34.75859,0.90958
34.25270,0.89952
34.76688,0.91063
34.88415,0.90684
34.85827,0.91158
34.39671,0.90191
34.85620,0.91349
34.94736,0.90938
34.93699,0.91330
34.42487,0.90299
34.85936,0.91216
34.87580,0.90727
34.83006,0.91167
34.33160,0.90137
34.75614,0.91156
34.83516,0.90709
34.82908,0.91151
34.38219,0.90194
34.77687,0.91189
34.82756,0.90733
34.74916,0.91125
34.30554,0.90130
34.69884,0.91154
34.77835,0.90740
34.72631,0.91236
34.24968,0.90176
34.70819,0.91293
34.76321,0.90785
34.72807,0.91270
34.19016,0.90190
34.68330,0.91316
34.59906,0.90679
35.68462,0.92659
35.40813,0.91928
36.60229,0.93720
37.42801,0.93779
36.41568,0.93512
35.35755,0.91948
35.69362,0.92667
35.62374,0.92031
35.49361,0.92365
34.96724,0.91219
35.35869,0.92149
35.39147,0.91622
35.26845,0.91995
34.77267,0.91011
35.18021,0.91924
35.24013,0.91398
35.12493,0.91771
34.69262,0.90883
35.12808,0.91828
35.17593,0.91320
35.19430,0.91777
34.73300,0.90814
35.19671,0.91807
35.25481,0.91427
35.22231,0.91849
34.73778,0.90882
35.18599,0.91899
35.12015,0.91313
35.11005,0.91644
34.66446,0.90673
35.05289,0.91638
35.10854,0.91141
35.11948,0.91556
34.62822,0.90509
35.05904,0.91513
35.13423,0.91020
35.17355,0.91560
34.73931,0.90677
35.16740,0.91658
35.18868,0.91185
35.13645,0.91593
34.66925,0.90625
35.06746,0.91592
35.10699,0.91098
35.10818,0.91590
34.63982,0.90627
35.04998,0.91618
35.10980,0.91173
35.06008,0.91653
34.66045,0.90806
35.03510,0.91734
35.12380,0.91478
34.79074,0.91451
33.03764,0.85213
33.92327,0.87613
33.90561,0.87592
