,0
bitrate.csv,0
concert_1920x1080_30_1M.264,1039.75
concert_1920x1080_30_2M.264,2057.33
concert_1920x1080_30_3M.264,3080.46
concert_1920x1080_30_4M.264,4101.79
concert_1920x1080_30_5M.264,5096.81
