PSNR_YYUV,SSIM (precise)_YYUV
BasketballDrive_1920x1080_50.yuv,BasketballDrive_1920x1080_50.yuv
v205_avc_cutoff_3B/BasketballDrive_1920x1080_50_4M.264,v205_avc_cutoff_3B/BasketballDrive_1920x1080_50_4M.264
AVG: 33.86680,AVG: 0.89508
34.89231,0.88176
32.82063,0.87951
31.85349,0.85777
32.13363,0.87137
33.23063,0.87402
31.86644,0.86765
31.23493,0.85181
31.71819,0.86665
32.64357,0.87053
32.67148,0.87808
32.44542,0.86929
32.66065,0.88066
32.60283,0.87286
33.17793,0.88598
33.08114,0.87913
33.53706,0.89262
34.22890,0.89222
34.04598,0.89826
33.84836,0.89010
34.30418,0.90219
35.15739,0.90356
35.07701,0.90947
34.86625,0.90051
35.27850,0.91166
35.73112,0.90882
35.49186,0.91365
35.15076,0.90417
35.57529,0.91663
36.39359,0.91638
35.55746,0.91876
35.08490,0.90875
35.41407,0.92053
36.19876,0.91861
35.34873,0.92030
34.94037,0.90974
35.35630,0.92137
36.13035,0.91878
35.29840,0.92023
34.87370,0.90819
35.41973,0.92001
36.15783,0.91769
35.00243,0.91728
34.41597,0.90374
35.00236,0.91680
35.88835,0.91490
34.18089,0.90585
33.50544,0.88878
33.87924,0.90077
34.63113,0.89513
33.09840,0.88287
32.42966,0.86407
32.72330,0.87743
33.10195,0.86831
32.04884,0.86718
31.51535,0.84825
31.70147,0.86046
32.11144,0.85539
31.84576,0.86239
31.50068,0.84714
31.79243,0.86120
32.21933,0.85674
31.87277,0.86229
31.64634,0.84948
31.91253,0.86154
32.35793,0.85611
32.05860,0.86256
31.70514,0.84818
32.21532,0.86314
32.54854,0.85745
32.19990,0.86228
31.96274,0.85200
32.45404,0.86711
32.84918,0.86639
32.36587,0.86996
32.03265,0.85566
32.76546,0.87853
33.66897,0.88369
33.25472,0.89134
32.79189,0.87910
33.46814,0.89756
34.20338,0.89896
33.74370,0.90550
33.34854,0.89396
33.98004,0.90991
34.71560,0.91036
34.03667,0.91234
33.58661,0.89713
34.24178,0.91255
35.37342,0.91556
34.54299,0.91433
34.03122,0.90361
34.72906,0.91790
35.63383,0.91853
34.84911,0.92079
34.45385,0.91155
35.01026,0.92408
35.79123,0.92251
34.95624,0.92308
34.42753,0.91091
35.57258,0.92814
37.88167,0.93490
35.82248,0.92966
34.89320,0.91555
35.20302,0.92468
35.93979,0.92251
34.99474,0.92167
34.55138,0.91137
34.96024,0.92059
35.60298,0.91821
34.71756,0.91656
34.27092,0.90657
34.49592,0.91483
35.03615,0.91064
34.20860,0.90987
33.71187,0.89787
34.08237,0.90830
34.35078,0.90068
33.65463,0.90098
33.41977,0.88960
33.58551,0.89717
33.77207,0.88919
33.32445,0.89046
32.87165,0.87477
32.96765,0.88209
33.10268,0.87444
32.78864,0.87793
32.28270,0.86138
32.46803,0.87200
32.49140,0.86116
32.49373,0.87287
32.10299,0.85755
32.48973,0.87444
32.69060,0.86746
33.06689,0.88185
32.90293,0.87226
33.35053,0.88747
33.34502,0.87856
34.03754,0.89647
33.78751,0.88680
34.16562,0.89978
34.59848,0.89786
35.07994,0.91201
34.67706,0.90137
35.19513,0.91640
35.33275,0.90969
35.54202,0.92029
35.19389,0.91009
35.57963,0.92120
35.78683,0.91424
35.64856,0.92126
35.18556,0.90958
35.51499,0.92073
35.75072,0.91397
35.61668,0.92061
35.10014,0.90904
35.49503,0.92022
35.77792,0.91437
35.53915,0.92060
35.09106,0.90933
35.49512,0.92083
35.79472,0.91441
35.52423,0.91958
35.10809,0.90919
35.46504,0.92000
35.59726,0.91145
35.48215,0.91950
34.87865,0.90506
35.09369,0.91436
35.39479,0.90780
35.24782,0.91527
34.63059,0.90107
35.11871,0.91424
35.27080,0.90603
34.89029,0.91076
34.47417,0.89800
34.63091,0.90737
34.91768,0.89898
34.72808,0.90685
34.18694,0.89245
34.62008,0.90460
34.95032,0.89807
34.61747,0.90351
34.10828,0.88870
34.66116,0.90433
35.13650,0.89928
34.89447,0.90703
34.62021,0.89639
35.00464,0.90864
35.35494,0.90357
35.08979,0.91022
34.60514,0.89837
34.94578,0.90943
35.39326,0.90649
33.94256,0.90191
33.42266,0.88869
33.84117,0.90369
35.49437,0.90999
34.04237,0.90285
33.48899,0.88535
34.57949,0.90857
36.53906,0.91891
35.03368,0.91748
34.26010,0.90187
34.70208,0.91394
35.24426,0.90953
34.63450,0.91278
34.18254,0.90028
34.56915,0.91241
34.98277,0.90761
34.44233,0.91125
33.92524,0.89806
34.10707,0.90831
34.69481,0.90510
34.27382,0.90922
33.70605,0.89563
34.05393,0.90808
34.51949,0.90358
33.91383,0.90493
33.35942,0.89032
33.72572,0.90310
34.22422,0.89865
33.66325,0.90082
33.15288,0.88637
33.34203,0.89629
33.88726,0.89145
33.33307,0.89346
32.84872,0.87870
33.11609,0.88760
33.50615,0.88119
32.98852,0.88256
32.56337,0.86778
32.93688,0.87982
33.24707,0.87259
32.86888,0.87528
32.36283,0.85758
32.62615,0.87069
32.94403,0.86334
32.73713,0.87215
32.30209,0.85631
32.78190,0.87343
33.03201,0.86580
32.96544,0.87558
32.47477,0.86027
32.92549,0.87526
33.08138,0.86774
32.74486,0.87283
32.53139,0.86319
33.16973,0.88131
33.74097,0.88546
33.28727,0.88764
33.31659,0.85683
35.28815,0.88867
35.24137,0.88835
