,0
bitrate.csv,0
Cactus_1920x1080_50_1M.264,994.508
Cactus_1920x1080_50_2M.264,1989.06
Cactus_1920x1080_50_3M.264,2986.68
Cactus_1920x1080_50_4M.264,3980.42
Cactus_1920x1080_50_5M.264,4978.09
