PSNR_YYUV,SSIM (precise)_YYUV
BasketballDrive_1920x1080_50.yuv,BasketballDrive_1920x1080_50.yuv
v205_avc_cutoff_0B/BasketballDrive_1920x1080_50_3M.264,v205_avc_cutoff_0B/BasketballDrive_1920x1080_50_3M.264
AVG: 33.08114,AVG: 0.88486
33.92888,0.86927
33.03282,0.87842
32.31982,0.86127
32.03488,0.86836
31.62398,0.85419
31.64486,0.86357
31.58551,0.85535
31.79234,0.86672
31.50744,0.85578
33.03957,0.88050
32.92626,0.87301
33.50452,0.88785
33.37857,0.87931
34.02256,0.89330
33.91924,0.88649
34.22431,0.89757
34.06336,0.88994
34.29311,0.89976
34.15604,0.89258
34.49131,0.90282
34.44693,0.89604
34.83272,0.90584
35.14656,0.90218
35.58813,0.91269
35.38694,0.90503
35.65057,0.91445
35.42447,0.90661
35.63329,0.91582
35.34871,0.90754
35.50087,0.91693
35.18990,0.90878
35.36221,0.91796
35.08107,0.90915
35.24793,0.91781
34.99623,0.90901
35.30298,0.91909
35.02377,0.90969
35.20353,0.91793
35.03352,0.90880
35.27752,0.91766
34.61236,0.90509
34.36738,0.91074
33.99287,0.89913
33.69022,0.90340
33.35919,0.89107
33.23915,0.89440
33.01423,0.88180
32.86331,0.88449
32.45380,0.86739
32.32735,0.86936
31.89882,0.85028
31.63371,0.85318
31.22107,0.83670
31.23519,0.84766
30.88374,0.83209
31.07952,0.84519
30.86004,0.83256
31.08141,0.84526
30.89672,0.83317
31.15996,0.84661
30.98642,0.83519
31.29481,0.84909
31.10444,0.83700
31.37403,0.84846
31.15313,0.83527
31.54999,0.85019
31.29476,0.83666
31.64285,0.85014
31.41716,0.83813
31.70988,0.85178
31.61198,0.84444
31.97635,0.86007
31.78146,0.85142
32.25284,0.86747
32.08909,0.85829
32.59446,0.87745
32.46259,0.86890
32.94156,0.88630
32.79194,0.87749
33.18723,0.89320
33.05404,0.88591
33.43801,0.90036
33.33195,0.89452
33.75958,0.90803
33.81583,0.90217
34.18236,0.91481
33.95676,0.90490
34.29333,0.91563
34.17851,0.90703
34.41710,0.91558
34.28966,0.90769
34.60006,0.91762
34.70641,0.91141
34.96268,0.92108
34.72417,0.91367
34.89009,0.92300
34.65903,0.91476
35.16438,0.92442
35.08149,0.91666
35.10489,0.92397
38.75853,0.94068
36.93167,0.93804
35.97055,0.92514
35.79629,0.92898
35.31960,0.91935
35.22318,0.92492
34.89815,0.91537
34.83436,0.92002
34.65456,0.91184
34.76912,0.91751
34.49580,0.90866
34.46790,0.91333
34.16748,0.90271
34.14367,0.90751
33.77227,0.89635
33.69028,0.90102
33.30641,0.88912
33.33868,0.89581
33.21239,0.88642
32.98680,0.88903
32.73312,0.87704
32.71335,0.88197
32.38676,0.86801
32.29646,0.87236
32.05771,0.86059
32.02732,0.86508
31.63594,0.85010
31.70882,0.85998
31.45804,0.84641
32.46674,0.87096
32.38143,0.86008
32.85588,0.87741
33.11968,0.87229
33.49840,0.88599
33.40509,0.87825
33.86462,0.89253
33.55046,0.88148
33.99224,0.89597
33.72731,0.88615
34.07817,0.89804
33.88673,0.89123
34.35135,0.90559
33.97354,0.89514
34.36699,0.90883
34.02270,0.89824
34.45348,0.91031
34.14532,0.90007
34.44136,0.91006
34.07302,0.89919
34.48409,0.90998
34.06086,0.89842
34.37691,0.90882
34.00931,0.89761
34.33785,0.90754
33.97902,0.89658
34.27976,0.90699
33.94413,0.89670
34.22560,0.90664
33.86607,0.89592
34.23476,0.90694
33.91214,0.89612
34.11996,0.90479
33.84555,0.89482
34.14353,0.90540
33.72392,0.89260
34.04961,0.90433
33.67810,0.89092
33.82689,0.89920
33.53451,0.88763
33.86214,0.89923
33.44052,0.88556
33.79878,0.89803
33.42827,0.88519
33.56642,0.89394
33.28189,0.88152
33.46071,0.89083
33.05650,0.87595
33.36459,0.88874
33.01331,0.87555
33.32755,0.88666
33.03775,0.87462
33.36941,0.88676
33.03683,0.87326
33.46941,0.88770
33.20032,0.87595
33.61600,0.88967
33.47742,0.88080
33.76572,0.89223
33.40365,0.88032
33.76985,0.89364
33.43715,0.88226
33.74652,0.89328
33.42277,0.88290
33.78404,0.89520
33.12756,0.88163
33.10674,0.89034
32.48165,0.87674
32.72541,0.88773
32.39368,0.87576
32.71985,0.88845
36.53906,0.91891
35.27151,0.91875
34.48553,0.90476
34.57124,0.91266
34.12872,0.90065
34.27588,0.90997
33.89898,0.89805
33.99352,0.90651
33.58423,0.89440
33.73999,0.90444
33.36293,0.89273
33.36174,0.89979
33.07901,0.88886
33.25375,0.89813
32.90298,0.88670
33.04945,0.89609
32.78471,0.88517
32.88918,0.89317
32.50087,0.88028
32.76123,0.89065
32.44732,0.87782
32.57883,0.88688
32.34785,0.87530
32.42223,0.88298
32.14688,0.87025
32.00818,0.87599
31.62224,0.86119
31.58826,0.86638
31.33211,0.85222
31.39348,0.85894
31.11571,0.84518
31.33779,0.85581
31.07185,0.84136
31.20477,0.85073
30.89581,0.83475
31.01532,0.84476
30.87177,0.83018
31.13088,0.84409
30.87576,0.82977
31.20184,0.84533
30.90910,0.83132
31.20579,0.84602
30.89633,0.83151
31.12556,0.84460
30.87049,0.83238
31.18176,0.84639
31.10366,0.83931
31.65446,0.85689
31.56034,0.85241
31.78640,0.86147
32.90424,0.84905
33.20031,0.86616
33.25374,0.86668
