PSNR_YYUV,SSIM (precise)_YYUV
BasketballDrive_1920x1080_50.yuv,BasketballDrive_1920x1080_50.yuv
v205_avc_cutoff_0B/BasketballDrive_1920x1080_50_5M.264,v205_avc_cutoff_0B/BasketballDrive_1920x1080_50_5M.264
AVG: 35.14309,AVG: 0.90880
35.79263,0.89232
35.11585,0.90421
34.33654,0.88759
34.16779,0.89567
33.72803,0.88252
33.82914,0.89177
33.52217,0.88141
35.13047,0.90473
34.90685,0.89636
35.68128,0.91083
35.51331,0.90367
35.90478,0.91488
35.92955,0.90867
36.33696,0.91907
36.42205,0.91408
36.84516,0.92449
36.57185,0.91698
36.91096,0.92637
36.68661,0.91951
37.10381,0.92887
36.91933,0.92150
37.34611,0.93033
37.48209,0.92493
37.96510,0.93402
37.65549,0.92628
38.02713,0.93486
37.66160,0.92693
37.97704,0.93579
37.60686,0.92777
37.84704,0.93636
37.48832,0.92885
37.75822,0.93741
37.39054,0.92917
37.68275,0.93769
37.33599,0.92932
37.65358,0.93825
37.31201,0.92904
37.58381,0.93699
37.29472,0.92812
37.65166,0.93663
36.96416,0.92558
36.89928,0.93227
36.45756,0.92200
36.32927,0.92791
35.90113,0.91623
35.99892,0.92228
35.61011,0.91057
35.57525,0.91555
35.10437,0.90080
35.11518,0.90630
34.62664,0.89088
34.46653,0.89627
33.23855,0.87208
33.16227,0.88032
32.73842,0.86493
33.01452,0.87746
32.66868,0.86424
32.97275,0.87646
32.67390,0.86325
33.00087,0.87639
32.72256,0.86477
33.08857,0.87801
32.81495,0.86617
33.13171,0.87716
32.86484,0.86453
33.28347,0.87770
32.92358,0.86383
33.34454,0.87690
33.02473,0.86476
33.38656,0.87789
33.19323,0.86945
33.60418,0.88386
33.38738,0.87508
33.90573,0.89107
33.70290,0.88134
34.29674,0.89921
34.09763,0.89027
34.64548,0.90618
34.39570,0.89734
34.87219,0.91186
34.70422,0.90478
35.16486,0.91854
34.98211,0.91148
35.48039,0.92413
35.30296,0.91660
35.71209,0.92810
35.49923,0.91918
35.90945,0.92945
35.83887,0.92116
36.37065,0.93081
37.11567,0.92978
37.62691,0.93958
37.62711,0.93397
38.15714,0.94345
37.85972,0.93671
38.66278,0.94728
38.38445,0.94007
38.86214,0.94806
38.92569,0.94238
39.38257,0.95028
41.58659,0.95734
40.31525,0.95615
39.57923,0.94720
39.63647,0.95208
39.17987,0.94447
39.39802,0.95021
38.95649,0.94271
39.19010,0.94831
38.81987,0.94055
39.07043,0.94663
38.64986,0.93894
38.79399,0.94470
38.38161,0.93603
38.56750,0.94276
38.04992,0.93326
38.26040,0.93958
37.71329,0.92935
37.85989,0.93634
37.55417,0.92735
37.66991,0.93341
37.23273,0.92292
37.45678,0.93044
36.90972,0.91819
37.09582,0.92544
36.64127,0.91407
36.81010,0.92047
36.22760,0.90691
36.54449,0.91686
36.02471,0.90311
36.56342,0.91714
35.76308,0.90210
36.35978,0.91735
35.86592,0.90568
36.09798,0.91631
35.63446,0.90594
36.15020,0.91884
35.64085,0.90710
36.17321,0.92056
35.73597,0.91026
36.19596,0.92137
35.82859,0.91362
36.35199,0.92651
35.86974,0.91603
36.36145,0.92859
35.89359,0.91803
36.40947,0.92897
35.98329,0.91887
36.39524,0.92859
35.95673,0.91811
36.38467,0.92828
35.89495,0.91749
36.29208,0.92774
35.85487,0.91703
36.26351,0.92657
35.83909,0.91615
36.24142,0.92634
35.83681,0.91631
36.23274,0.92633
35.77955,0.91599
36.24232,0.92646
35.84964,0.91605
36.13880,0.92454
35.75850,0.91450
36.18098,0.92518
35.63943,0.91240
36.07610,0.92410
35.57881,0.91109
35.80000,0.91973
35.42131,0.90834
35.85781,0.91976
35.33723,0.90686
35.78408,0.91908
35.31766,0.90672
35.28238,0.91374
34.62880,0.89929
34.39860,0.90471
33.73804,0.88825
33.87254,0.89867
33.35056,0.88360
33.62698,0.89399
33.25671,0.88070
33.58620,0.89230
33.17467,0.87808
33.65063,0.89225
33.33991,0.87978
33.74653,0.89319
33.58774,0.88392
33.87130,0.89516
33.50227,0.88295
33.87978,0.89599
33.52666,0.88469
33.81092,0.89507
33.47676,0.88477
33.80463,0.89655
33.55401,0.88714
33.90409,0.89903
33.61539,0.88944
34.02268,0.90177
33.79525,0.89176
34.19659,0.90482
38.00740,0.93228
36.64909,0.93140
35.86618,0.91873
35.97812,0.92617
35.49827,0.91468
35.71044,0.92353
35.23298,0.91236
35.41367,0.92109
34.98991,0.90973
35.21369,0.91967
34.78516,0.90855
34.83596,0.91589
34.53915,0.90593
34.79374,0.91539
34.47879,0.90444
34.75055,0.91430
34.42988,0.90359
34.59467,0.91220
34.18214,0.90006
34.50854,0.91079
34.09959,0.89790
34.31882,0.90725
34.03602,0.89533
34.15788,0.90324
33.86954,0.89090
34.01801,0.89933
33.71170,0.88638
33.78421,0.89302
33.45762,0.87973
33.58848,0.88748
33.27177,0.87481
33.55640,0.88577
33.22616,0.87163
33.44989,0.88163
33.04927,0.86611
33.28436,0.87741
32.89957,0.86213
33.29187,0.87701
32.94271,0.86316
33.40503,0.87897
33.02562,0.86547
33.41147,0.87946
33.03067,0.86565
33.36248,0.87868
33.02837,0.86664
33.41838,0.88024
33.32246,0.87409
33.93018,0.89078
33.75613,0.88551
33.99364,0.89358
34.77771,0.87097
35.12680,0.88800
35.20013,0.88824
