,0
BasketballDrive_1920x1080_50_1M.264,1489.14
BasketballDrive_1920x1080_50_2M.264,2052.34
BasketballDrive_1920x1080_50_3M.264,3137.87
BasketballDrive_1920x1080_50_4M.264,4141.17
BasketballDrive_1920x1080_50_5M.264,5249.49
bitrate.csv,0
