,0
bitrate.csv,0
lol_1920x1080_25_1M.264,1005.32
lol_1920x1080_25_2M.264,1988.36
lol_1920x1080_25_3M.264,2976.13
lol_1920x1080_25_4M.264,3972.56
lol_1920x1080_25_5M.264,4986.88
