PSNR_YYUV,SSIM (precise)_YYUV
BasketballDrive_1920x1080_50.yuv,BasketballDrive_1920x1080_50.yuv
v205_avc_cuton_0B/BasketballDrive_1920x1080_50_4M.264,v205_avc_cuton_0B/BasketballDrive_1920x1080_50_4M.264
AVG: 34.51958,AVG: 0.90163
34.89231,0.88176
34.08612,0.89245
33.68116,0.87873
33.79616,0.88954
33.68232,0.88002
33.88146,0.89036
33.92719,0.88336
34.23442,0.89519
33.98311,0.88591
34.70415,0.90047
34.53740,0.89334
35.07839,0.90648
34.94279,0.89837
35.26459,0.90878
35.55042,0.90497
35.93132,0.91585
35.71043,0.90842
36.02627,0.91811
35.80665,0.91101
36.22627,0.92049
36.09954,0.91337
36.50409,0.92261
36.31884,0.91478
36.71616,0.92390
36.45356,0.91606
36.73542,0.92474
36.43137,0.91684
36.67376,0.92562
36.35014,0.91714
36.53513,0.92618
36.19444,0.91824
36.41454,0.92735
36.10151,0.91879
36.30402,0.92731
36.04391,0.91869
36.31401,0.92793
36.00022,0.91854
36.23768,0.92681
35.98885,0.91739
36.28778,0.92627
35.99850,0.91684
36.23076,0.92603
35.89197,0.91601
36.08479,0.92448
35.30463,0.91033
35.27293,0.91507
34.72387,0.90188
34.12359,0.90072
33.54834,0.88292
33.44225,0.88566
32.97047,0.86809
32.71958,0.87176
32.26079,0.85524
32.28811,0.86575
31.97675,0.85173
32.19542,0.86403
31.91322,0.85131
32.16868,0.86347
31.92200,0.85089
32.21230,0.86383
32.01008,0.85274
32.33551,0.86559
32.10782,0.85397
32.42382,0.86535
32.17698,0.85268
32.59442,0.86639
32.25470,0.85288
32.63369,0.86593
32.37910,0.85429
32.71574,0.86776
32.55042,0.85970
32.94221,0.87475
32.69370,0.86550
33.21233,0.88185
33.05324,0.87243
33.59964,0.89069
33.42059,0.88163
33.92428,0.89800
33.70209,0.88888
34.19695,0.90405
34.02872,0.89699
34.46332,0.91095
34.33022,0.90450
34.84306,0.91799
34.66507,0.91043
35.05803,0.92253
34.87635,0.91336
35.45181,0.92495
35.31913,0.91639
35.55050,0.92455
35.29464,0.91613
35.71017,0.92552
35.43518,0.91748
35.79269,0.92773
36.08956,0.92359
36.44035,0.93296
36.26267,0.92583
36.75825,0.93523
37.10321,0.93030
37.45206,0.93878
40.35273,0.95026
39.15520,0.95032
38.35640,0.94038
38.30251,0.94505
37.85977,0.93664
38.00609,0.94232
37.73178,0.93471
37.79222,0.93993
37.56643,0.93241
37.68111,0.93822
37.33199,0.93025
37.35203,0.93552
37.00951,0.92656
37.08179,0.93290
36.67867,0.92317
36.78251,0.92924
36.29953,0.91831
36.36250,0.92475
36.14046,0.91571
36.12508,0.92090
35.77362,0.91015
35.89935,0.91703
35.44954,0.90432
35.50148,0.91093
35.16118,0.89970
35.23860,0.90551
34.75837,0.89153
34.98832,0.90159
34.56799,0.88764
34.96542,0.90151
34.57414,0.88860
35.13982,0.90476
34.80248,0.89372
35.20370,0.90595
34.93948,0.89696
35.41991,0.91020
35.01564,0.89896
35.54610,0.91316
35.19476,0.90351
35.62366,0.91492
35.32431,0.90764
35.85207,0.92124
35.40050,0.91080
35.86922,0.92382
35.43754,0.91333
35.94650,0.92477
35.54904,0.91438
35.91876,0.92433
35.53698,0.91386
35.94206,0.92411
35.47753,0.91314
35.85286,0.92342
35.43772,0.91259
35.82343,0.92217
35.41772,0.91161
35.79749,0.92207
35.40657,0.91175
35.79644,0.92179
35.36280,0.91126
35.80204,0.92207
35.42741,0.91165
35.70135,0.92027
35.35701,0.91038
35.71783,0.92098
35.20210,0.90796
35.62460,0.91982
35.13160,0.90654
35.33507,0.91512
34.99979,0.90393
35.41280,0.91549
34.89743,0.90240
35.33007,0.91467
34.87309,0.90212
35.09969,0.91105
34.75037,0.89919
33.98663,0.90055
33.18886,0.88253
33.39253,0.89333
32.87413,0.87758
33.09882,0.88781
32.74410,0.87455
33.02385,0.88538
32.62566,0.87086
33.08574,0.88497
32.75928,0.87259
33.14692,0.88596
32.98629,0.87663
33.24790,0.88785
32.90753,0.87576
33.20191,0.88808
32.88996,0.87670
33.15899,0.88693
32.81446,0.87580
33.11647,0.88790
32.85626,0.87815
33.16077,0.89023
32.90322,0.88035
33.32674,0.89335
33.11246,0.88353
33.47901,0.89651
37.39439,0.92687
36.11765,0.92650
35.64519,0.91598
35.79036,0.92369
35.35184,0.91243
35.59856,0.92196
35.16180,0.91104
35.35258,0.91989
34.91054,0.90861
35.13579,0.91853
34.72105,0.90762
34.83269,0.91529
34.50679,0.90489
34.75772,0.91433
34.36839,0.90332
34.62775,0.91311
34.31842,0.90250
34.48233,0.91082
34.10243,0.89922
34.42526,0.90955
34.04739,0.89700
34.25950,0.90622
33.98716,0.89460
34.11454,0.90244
33.81317,0.89005
34.00415,0.89897
33.66979,0.88583
33.76819,0.89273
33.44589,0.87964
33.56998,0.88745
33.23906,0.87465
33.51370,0.88522
33.21665,0.87164
33.42707,0.88125
33.02288,0.86570
33.27814,0.87718
32.91378,0.86208
33.33546,0.87712
33.00453,0.86353
33.41755,0.87887
33.03697,0.86562
33.42337,0.87964
33.03981,0.86579
33.37239,0.87879
33.06949,0.86726
33.44486,0.88070
33.34863,0.87459
33.93708,0.89101
33.74339,0.88557
34.00298,0.89385
34.78469,0.87110
35.15385,0.88820
35.24412,0.88881
